Service Name,Retail Price,Duration,Extra Time,Tax,Description,Category Name,Treatment Type,Resource,Online Booking,Available For,Voucher Sales,Commissions,Service ID
New Client Consultation  - Free,0.00,15m,,Custom per location,"(this is a legal requirement for all first time visits)
If you are making your first visit to La Belle Jolie, no matter how simple your appointment, we like to take the time to fill out your registration form with you and welcome you to the salon properly. So don't forget to add this free appointment to your first visit.

As this treatment is a legal requirement, please note that we regret we are unable to carry out any treatments without a complete consultation.",? Consultations & Test Treatments,Skin Consultation,Not required,Enabled,Everyone,Disabled,Enabled,"180,989"
Telephone Consultation - Free,0.00,15m,,Custom per location,"If you are unsure about which treatment you would like to book or need information or advice about any of our services, book this telephone consultation to arrange a call back from one of our team.

If you have a specific query, leave a note in the booking and we will ensure that the right person calls you back.",? Consultations & Test Treatments,Skin Consultation,Not required,Enabled,Everyone,Disabled,Enabled,"1,133,084"
Electrolysis consultation & test treatment (free at point of checkout),45.00,30m,,Custom per location,"This treatment is complimentary and discounted at the point of check out.  All non attended appointments are subject to our usual policies and charges.

Please note: All new clients to electrolysis at La Belle Jolie are required to have this appointment and we are unable to carry out any treatment without it - even if you have received treatment in another salon. 

Treatment time: please allow up to 45 minutes for your visit.",? Consultations & Test Treatments,Electrolysis,Required,Enabled,Everyone,Disabled,Enabled,"180,948"
Blemish and minor lesion identification (for cosmetic removal) - Free,0.00,15m,,Default per location,"If you have a blemish, lump, bump or lesion that you are unable to identify and would like to have it professionally assessed for potential removal, please book this complimentary appointment.",? Consultations & Test Treatments,Electrolysis,Not required,Enabled,Everyone,Disabled,Enabled,"13,185,460"
Microneedling consultation (free at point of checkout) - discounted at check out,50.00,15m,,Default per location,"If you are interested in microneedling and are nervous about taking the first step or would like to find out more before booking, this complimentary one to one consultation will enable you to find out everything you need to know.",? Consultations & Test Treatments,Skin Consultation,Required,Enabled,Everyone,Disabled,Enabled,"7,665,763"
Micro-needling - Anti ageing (collagen induction) - follow up treatments,180.00,30m,15m blocked time after,Default per location,"Microneedling for facial rejuvenation (collagen induction therapy) creates thousands of micro-channels in the skin to stimulate the production of collagen and elastin to create a more youthful appearance and the removal of fine lines and wrinkles. We also include the neck and décolletage free of charge as we feel it's important to have the entire area treated each time.

You first appointment includes a £150 homecare kit with all the products you will need to look after your skin after treatment.

It is recommend for maximum results to have three to four treatments of microneedling each 6 to 8 weeks apart. For optimum continued results it is recommend that you repeat the course annually.",Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"6,331,673"
Micro-needling - Anti ageing (collagen induction) - 1st treatment-inc homecare kit,280.00,30m,15m blocked time after,Default per location,"Microneedling for facial rejuvenation (collagen induction therapy) creates thousands of micro-channels in the skin to stimulate the production of collagen and elastin to create a more youthful appearance and the removal of fine lines and wrinkles. We also include the neck and décolletage free of charge as we feel it's important to have the entire area treated each time.

You first appointment includes a £150 homecare kit with all the products you will need to look after your skin after treatment.

It is recommend for maximum results to have three to four treatments of microneedling each 6 to 8 weeks apart. For optimum continued results it is recommend that you repeat the course annually.",Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"6,331,673"
Micro-needling - Acne & Acne Scarring treatment - follow up treatments,180.00,30m,15m blocked time after,Default per location,"Microneedling for acne and acne scarring visibly reduces inflammation and pitting from acne scarring, it creates thousands of micro-channels in the skin triggering the bodies natural healing response. to create a smoother clearer complexion.

We also include complimentary anti ageing neck and décolletage treatment. 

You first appointment includes a £150 homecare kit with all the products you will need to look after your skin after treatment.

It is recommend for maximum results to have a minimum of four treatments 2 to 4 weeks apart.",Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"9,402,219"
Micro-needling - Acne & Acne Scarring treatment - 1st treatment-inc homecare kit,280.00,30m,15m blocked time after,Default per location,"Microneedling for acne and acne scarring visibly reduces inflammation and pitting from acne scarring, it creates thousands of micro-channels in the skin triggering the bodies natural healing response. to create a smoother clearer complexion.

We also include complimentary anti ageing neck and décolletage treatment. 

You first appointment includes a £150 homecare kit with all the products you will need to look after your skin after treatment.

It is recommend for maximum results to have a minimum of four treatments 2 to 4 weeks apart.",Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"9,402,219"
Micro-needling - Stretch mark reduction - follow on treatments,180.00,30m,15m blocked time after,Default per location,,Aesthetic treatments,Microneedling,Required,Enabled,Everyone,Disabled,Enabled,"7,103,932"
